algorithm,1,2,3,4,5,6,7,8,9,10
Incremental,155.60566,87.30911,63.12714,64.87467,52.12787,33.56054,30.30161,25.01732,30.03798,25.75932
Hilbert,3.5147,1.91322,1.75879,1.57438,1.92993,1.55534,1.43188,1.40374,1.38608,1.53138
Moore,2.50798,1.7307,1.94077,1.50838,1.80922,1.64532,1.49773,1.39732,1.35774,1.38082
Spiral,1.96643,1.85951,1.82905,1.51145,1.70142,1.44261,1.52843,1.67138,1.36566,1.41906
PivotByMiddle,2.26951,1.51981,1.72538,1.62297,1.73458,1.62854,1.45329,1.67301,1.55377,1.52591
PivotBySize,2.11278,1.84699,1.59624,1.91926,1.76147,1.46516,1.45995,1.40367,1.36372,1.37098
PivotBySplitSize,1.97961,1.71698,1.55627,1.66326,1.60344,1.44745,1.43573,1.43449,1.37555,1.6305
Approximation,1.5675,1.45929,1.41972,1.36991,1.4896,1.77021,1.62709,1.38103,1.41516,1.29141
