algorithm,25,50,75,100,125,150,175,200
Incremental,15.48453,36.66059,87.85528,144.36817,250.8831,400.72262,535.26553,776.95043
Hilbert,0.57071,0.70389,1.08348,1.5226,2.45394,2.85897,3.73448,6.57441
Moore,0.57647,0.77515,1.05618,1.72749,2.10681,3.08504,4.42253,5.99379
Spiral,0.60971,0.74022,1.16977,1.98887,2.29587,2.77227,3.54406,4.54346
PivotByMiddle,0.50396,0.65204,1.09226,2.03509,2.93382,3.0288,4.12415,5.32478
PivotBySize,0.45533,0.70176,1.21668,1.75377,2.85036,3.51076,4.09019,5.82915
PivotBySplitSize,0.50594,0.67197,1.19071,1.71171,2.31563,3.24664,4.25375,5.94469
Approximation,0.48109,0.78141,1.03815,1.77675,2.0442,2.92043,3.89249,4.54032
